2024-01-13 13:34:06,183 p=3127 u=rob n=ansible | skipping: [oobm-z65ole]
2024-01-13 13:34:06,187 p=3127 u=rob n=ansible | skipping: [vyos-wan]
2024-01-13 13:34:06,190 p=3127 u=rob n=ansible | skipping: [client]
2024-01-13 13:34:06,192 p=3127 u=rob n=ansible | TASK [eve-ng-create-node : tunnelbroker: start node] *********************************************************************
2024-01-13 13:34:06,222 p=3127 u=rob n=ansible | skipping: [eveng]
2024-01-13 13:34:06,223 p=3127 u=rob n=ansible | skipping: [oobm-z65ole]
2024-01-13 13:34:06,225 p=3127 u=rob n=ansible | skipping: [vyos-wan]
2024-01-13 13:34:06,231 p=3127 u=rob n=ansible | skipping: [client]
2024-01-13 13:34:06,234 p=3127 u=rob n=ansible | TASK [eve-ng-create-node : debug] ****************************************************************************************
2024-01-13 13:34:06,251 p=3127 u=rob n=ansible | skipping: [eveng]
2024-01-13 13:34:06,259 p=3127 u=rob n=ansible | skipping: [oobm-z65ole]
2024-01-13 13:34:06,264 p=3127 u=rob n=ansible | skipping: [vyos-wan]
2024-01-13 13:34:06,271 p=3127 u=rob n=ansible | skipping: [client]
2024-01-13 13:34:06,274 p=3127 u=rob n=ansible | TASK [eve-ng-create-node : tunnelbroker: get node infos] *****************************************************************
2024-01-13 13:34:06,298 p=3127 u=rob n=ansible | skipping: [eveng]
2024-01-13 13:34:06,299 p=3127 u=rob n=ansible | skipping: [oobm-z65ole]
2024-01-13 13:34:06,302 p=3127 u=rob n=ansible | skipping: [vyos-wan]
2024-01-13 13:34:06,306 p=3127 u=rob n=ansible | skipping: [client]
2024-01-13 13:34:06,308 p=3127 u=rob n=ansible | TASK [eve-ng-create-node : set_fact] *************************************************************************************
2024-01-13 13:34:06,331 p=3127 u=rob n=ansible | skipping: [eveng]
2024-01-13 13:34:06,332 p=3127 u=rob n=ansible | skipping: [oobm-z65ole]
2024-01-13 13:34:06,335 p=3127 u=rob n=ansible | skipping: [vyos-wan]
2024-01-13 13:34:06,339 p=3127 u=rob n=ansible | skipping: [client]
2024-01-13 13:34:06,342 p=3127 u=rob n=ansible | TASK [eve-ng-create-node : tunnelbroker: copy file] **********************************************************************
2024-01-13 13:34:06,367 p=3127 u=rob n=ansible | skipping: [eveng]
2024-01-13 13:34:06,370 p=3127 u=rob n=ansible | skipping: [oobm-z65ole]
2024-01-13 13:34:06,371 p=3127 u=rob n=ansible | skipping: [vyos-wan]
2024-01-13 13:34:06,378 p=3127 u=rob n=ansible | skipping: [client]
2024-01-13 13:34:06,380 p=3127 u=rob n=ansible | TASK [eve-ng-create-node : tunnelbroker: run expect script] **************************************************************
2024-01-13 13:34:06,391 p=3127 u=rob n=ansible | skipping: [eveng]
2024-01-13 13:34:06,392 p=3127 u=rob n=ansible | skipping: [oobm-z65ole]
2024-01-13 13:34:06,393 p=3127 u=rob n=ansible | skipping: [vyos-wan]
2024-01-13 13:34:06,397 p=3127 u=rob n=ansible | skipping: [client]
2024-01-13 13:34:06,399 p=3127 u=rob n=ansible | TASK [eve-ng-create-node : tunnelbroker: Login to EVE-NG and get Cookie (due timeout)] ***********************************
2024-01-13 13:34:06,410 p=3127 u=rob n=ansible | skipping: [eveng]
2024-01-13 13:34:06,410 p=3127 u=rob n=ansible | skipping: [oobm-z65ole]
2024-01-13 13:34:06,411 p=3127 u=rob n=ansible | skipping: [vyos-wan]
2024-01-13 13:34:06,414 p=3127 u=rob n=ansible | skipping: [client]
2024-01-13 13:34:06,416 p=3127 u=rob n=ansible | TASK [eve-ng-create-node : tunnelbroker: stop node] **********************************************************************
2024-01-13 13:34:06,427 p=3127 u=rob n=ansible | skipping: [eveng]
2024-01-13 13:34:06,428 p=3127 u=rob n=ansible | skipping: [oobm-z65ole]
2024-01-13 13:34:06,428 p=3127 u=rob n=ansible | skipping: [vyos-wan]
2024-01-13 13:34:06,432 p=3127 u=rob n=ansible | skipping: [client]
2024-01-13 13:34:06,434 p=3127 u=rob n=ansible | TASK [eve-ng-create-node : tunnelbroker: Pause to wait node is shutdown] *************************************************
2024-01-13 13:34:06,441 p=3127 u=rob n=ansible | skipping: [eveng]
2024-01-13 13:34:06,443 p=3127 u=rob n=ansible | TASK [eve-ng-create-node : tunnelbroker: delete iso] *********************************************************************
2024-01-13 13:34:06,453 p=3127 u=rob n=ansible | skipping: [eveng]
2024-01-13 13:34:06,454 p=3127 u=rob n=ansible | skipping: [oobm-z65ole]
2024-01-13 13:34:06,455 p=3127 u=rob n=ansible | skipping: [vyos-wan]
2024-01-13 13:34:06,458 p=3127 u=rob n=ansible | skipping: [client]
2024-01-13 13:34:06,459 p=3127 u=rob n=ansible | TASK [eve-ng-create-node : tunnelbroker: commit virtioa.qcow2] ***********************************************************
2024-01-13 13:34:06,471 p=3127 u=rob n=ansible | skipping: [eveng]
2024-01-13 13:34:06,472 p=3127 u=rob n=ansible | skipping: [oobm-z65ole]
2024-01-13 13:34:06,473 p=3127 u=rob n=ansible | skipping: [vyos-wan]
2024-01-13 13:34:06,476 p=3127 u=rob n=ansible | skipping: [client]
2024-01-13 13:34:06,477 p=3127 u=rob n=ansible | TASK [eve-ng-create-node : tunnelbroker: delete lab for node install] ****************************************************
2024-01-13 13:34:06,488 p=3127 u=rob n=ansible | skipping: [eveng]
2024-01-13 13:34:06,488 p=3127 u=rob n=ansible | skipping: [oobm-z65ole]
2024-01-13 13:34:06,489 p=3127 u=rob n=ansible | skipping: [vyos-wan]
2024-01-13 13:34:06,492 p=3127 u=rob n=ansible | skipping: [client]
2024-01-13 13:34:06,495 p=3127 u=rob n=ansible | TASK [eve-ng-lab-test : Get env file content] ****************************************************************************
2024-01-13 13:34:06,715 p=3127 u=rob n=ansible | ok: [eveng -> localhost]
2024-01-13 13:34:06,715 p=3127 u=rob n=ansible | ok: [vyos-wan -> localhost]
2024-01-13 13:34:06,715 p=3127 u=rob n=ansible | ok: [client -> localhost]
2024-01-13 13:34:06,716 p=3127 u=rob n=ansible | ok: [oobm-z65ole -> localhost]
2024-01-13 13:34:06,718 p=3127 u=rob n=ansible | TASK [eve-ng-lab-test : tunnelbroker: Load facts] ************************************************************************
2024-01-13 13:34:06,734 p=3127 u=rob n=ansible | ok: [eveng]
2024-01-13 13:34:06,752 p=3127 u=rob n=ansible | ok: [oobm-z65ole]
2024-01-13 13:34:06,755 p=3127 u=rob n=ansible | ok: [vyos-wan]
2024-01-13 13:34:06,759 p=3127 u=rob n=ansible | ok: [client]
2024-01-13 13:34:06,760 p=3127 u=rob n=ansible | TASK [eve-ng-lab-test : decode oobm default startupconfig] ***************************************************************
2024-01-13 13:34:06,771 p=3127 u=rob n=ansible | skipping: [oobm-z65ole]
2024-01-13 13:34:06,772 p=3127 u=rob n=ansible | skipping: [vyos-wan]
2024-01-13 13:34:06,775 p=3127 u=rob n=ansible | skipping: [client]
2024-01-13 13:34:06,776 p=3127 u=rob n=ansible | ok: [eveng]
2024-01-13 13:34:06,778 p=3127 u=rob n=ansible | TASK [eve-ng-lab-test : tunnelbroker: fail if node_template_version is empty] ********************************************
2024-01-13 13:34:06,786 p=3127 u=rob n=ansible | skipping: [eveng]
2024-01-13 13:34:06,790 p=3127 u=rob n=ansible | skipping: [oobm-z65ole]
2024-01-13 13:34:06,791 p=3127 u=rob n=ansible | skipping: [vyos-wan]
2024-01-13 13:34:06,794 p=3127 u=rob n=ansible | skipping: [client]
2024-01-13 13:34:06,796 p=3127 u=rob n=ansible | TASK [eve-ng-lab-test : tunnelbroker: Login to EVE-NG and get Cookie] ****************************************************
2024-01-13 13:34:06,806 p=3127 u=rob n=ansible | skipping: [oobm-z65ole]
2024-01-13 13:34:06,808 p=3127 u=rob n=ansible | skipping: [vyos-wan]
2024-01-13 13:34:06,811 p=3127 u=rob n=ansible | skipping: [client]
2024-01-13 13:34:07,416 p=3127 u=rob n=ansible | ok: [eveng]
2024-01-13 13:34:07,421 p=3127 u=rob n=ansible | TASK [eve-ng-lab-test : tunnelbroker: get running lab list] **************************************************************
2024-01-13 13:34:07,433 p=3127 u=rob n=ansible | skipping: [oobm-z65ole]
2024-01-13 13:34:07,434 p=3127 u=rob n=ansible | skipping: [vyos-wan]
2024-01-13 13:34:07,436 p=3127 u=rob n=ansible | skipping: [client]
2024-01-13 13:34:07,842 p=3127 u=rob n=ansible | ok: [eveng]
2024-01-13 13:34:07,844 p=3127 u=rob n=ansible | TASK [eve-ng-lab-test : tunnelbroker: kill running lab] ******************************************************************
2024-01-13 13:34:07,852 p=3127 u=rob n=ansible | [WARNING]: conditional statements should not include jinja2 templating delimiters such as {{ }} or {% %}. Found:
(response.json.message != "No nodes running (60071).") and (item.labname == "{{ eve_ng_folder_name }}/{{ lab }}")

2024-01-13 13:34:07,854 p=3127 u=rob n=ansible | skipping: [eveng] => (item={'podid': '1', 'username': 'ansible', 'online': '1', 'uuid': '118775ba-26f6-434a-8dd5-62b0edaa4cd1', 'size': 0.0709, 'sat': '0', 'sat_name': 'master', 'labid': '2', 'labname': '/labtest/DHCPRelay_through_GRE', 'cpu': 0.5, 'mem': 4.51}) 
2024-01-13 13:34:07,855 p=3127 u=rob n=ansible | skipping: [oobm-z65ole]
2024-01-13 13:34:07,857 p=3127 u=rob n=ansible | skipping: [eveng] => (item={'podid': '0', 'username': 'admin', 'online': '1', 'uuid': '588b9164-a3b7-4522-8058-0f6ff6286564', 'size': 0.1878, 'sat': '0', 'sat_name': 'master', 'labid': 1002, 'labname': '/Common\n', 'cpu': 0, 'mem': 0}) 
2024-01-13 13:34:07,858 p=3127 u=rob n=ansible | skipping: [eveng] => (item={'podid': '0', 'username': 'admin', 'online': '1', 'uuid': '61cc6cd0-78f4-4302-830b-482b642a5e74', 'size': 0.534, 'sat': '0', 'sat_name': 'master', 'labid': 1003, 'labname': '/MSS-Clambing\n', 'cpu': 0, 'mem': 0}) 
2024-01-13 13:34:07,858 p=3127 u=rob n=ansible | skipping: [vyos-wan]
2024-01-13 13:34:07,860 p=3127 u=rob n=ansible | skipping: [client]
2024-01-13 13:34:07,860 p=3127 u=rob n=ansible | skipping: [eveng] => (item={'podid': '1', 'username': 'ansible', 'online': '1', 'uuid': 'a0e4e4ed-9da3-4c84-9947-144e76edaa6b', 'size': 0.0755, 'sat': '0', 'sat_name': 'master', 'labid': '1', 'labname': '/labtest/L3VPN_EVPN', 'cpu': 1.5, 'mem': 5.21}) 
2024-01-13 13:34:07,861 p=3127 u=rob n=ansible | skipping: [eveng]
2024-01-13 13:34:07,863 p=3127 u=rob n=ansible | TASK [eve-ng-lab-test : tunnelbroker: delete existing lab] ***************************************************************
2024-01-13 13:34:07,875 p=3127 u=rob n=ansible | skipping: [oobm-z65ole]
2024-01-13 13:34:07,875 p=3127 u=rob n=ansible | skipping: [vyos-wan]
2024-01-13 13:34:07,878 p=3127 u=rob n=ansible | skipping: [client]
2024-01-13 13:34:08,287 p=3127 u=rob n=ansible | ok: [eveng]
2024-01-13 13:34:08,290 p=3127 u=rob n=ansible | TASK [eve-ng-lab-test : tunnelbroker: Ensure labtest is present] *********************************************************
2024-01-13 13:34:08,302 p=3127 u=rob n=ansible | skipping: [oobm-z65ole]
2024-01-13 13:34:08,303 p=3127 u=rob n=ansible | skipping: [vyos-wan]
2024-01-13 13:34:08,306 p=3127 u=rob n=ansible | skipping: [client]
2024-01-13 13:34:08,518 p=3127 u=rob n=ansible | ok: [eveng]
2024-01-13 13:34:08,520 p=3127 u=rob n=ansible | TASK [eve-ng-lab-test : tunnelbroker: Create tunnelbroker Lab] ***********************************************************
2024-01-13 13:34:08,531 p=3127 u=rob n=ansible | skipping: [oobm-z65ole]
2024-01-13 13:34:08,531 p=3127 u=rob n=ansible | skipping: [vyos-wan]
2024-01-13 13:34:08,534 p=3127 u=rob n=ansible | skipping: [client]
2024-01-13 13:34:09,028 p=3127 u=rob n=ansible | changed: [eveng]
2024-01-13 13:34:09,032 p=3127 u=rob n=ansible | TASK [eve-ng-lab-test : tunnelbroker: Login to EVE-NG and get Cookie] ****************************************************
2024-01-13 13:34:09,060 p=3127 u=rob n=ansible | skipping: [oobm-z65ole]
2024-01-13 13:34:09,067 p=3127 u=rob n=ansible | skipping: [vyos-wan]
2024-01-13 13:34:09,076 p=3127 u=rob n=ansible | skipping: [client]
2024-01-13 13:34:09,725 p=3127 u=rob n=ansible | ok: [eveng]
2024-01-13 13:34:09,730 p=3127 u=rob n=ansible | TASK [eve-ng-lab-test : tunnelbroker: start vyos-oobm] *******************************************************************
2024-01-13 13:34:09,742 p=3127 u=rob n=ansible | skipping: [oobm-z65ole]
2024-01-13 13:34:09,744 p=3127 u=rob n=ansible | skipping: [vyos-wan]
2024-01-13 13:34:09,746 p=3127 u=rob n=ansible | skipping: [client]
2024-01-13 13:34:10,872 p=3127 u=rob n=ansible | ok: [eveng]
2024-01-13 13:34:10,874 p=3127 u=rob n=ansible | TASK [eve-ng-lab-test : tunnelbroker: Wait for vyos-oobm] ****************************************************************
2024-01-13 13:34:10,885 p=3127 u=rob n=ansible | skipping: [eveng]
2024-01-13 13:34:10,886 p=3127 u=rob n=ansible | skipping: [vyos-wan]
2024-01-13 13:34:10,890 p=3127 u=rob n=ansible | skipping: [client]
2024-01-13 13:34:11,770 p=3127 u=rob n=ansible | network_os is set to vyos
2024-01-13 13:34:11,771 p=3127 u=rob n=ansible | [WARNING]: ansible-pylibssh not installed, falling back to paramiko

2024-01-13 13:34:11,773 p=3127 u=rob n=ansible | [DEPRECATION WARNING]: PlayContext.verbosity is deprecated, use ansible.utils.display.Display.verbosity instead. This 
feature will be removed in version 2.18. Deprecation warnings can be disabled by setting deprecation_warnings=False in 
ansible.cfg.
2024-01-13 13:35:27,263 p=3449 u=rob n=p=3449 u=rob | paramiko [oobm-z65ole] | Connected (version 2.0, client OpenSSH_9.2p1)
2024-01-13 13:35:27,563 p=3449 u=rob n=p=3449 u=rob | paramiko [oobm-z65ole] | Authentication (publickey) successful!
