2023-02-24 12:57:19,631 p=28216 u=rob n=ansible | PLAY [Automatic VyOS Lab test] **********************************************************************************************************************************
2023-02-24 12:57:23,287 p=28216 u=rob n=ansible | skipping: [eveng]
2023-02-24 12:57:23,293 p=28216 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 12:57:23,294 p=28216 u=rob n=ansible | skipping: [PE1]
2023-02-24 12:57:23,296 p=28216 u=rob n=ansible | skipping: [PE2]
2023-02-24 12:57:23,300 p=28216 u=rob n=ansible | skipping: [PE3]
2023-02-24 12:57:23,303 p=28216 u=rob n=ansible | TASK [eve-ng-create-node : set_fact] ****************************************************************************************************************************
2023-02-24 12:57:23,323 p=28216 u=rob n=ansible | skipping: [eveng]
2023-02-24 12:57:23,330 p=28216 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 12:57:23,331 p=28216 u=rob n=ansible | skipping: [PE1]
2023-02-24 12:57:23,333 p=28216 u=rob n=ansible | skipping: [PE2]
2023-02-24 12:57:23,337 p=28216 u=rob n=ansible | skipping: [PE3]
2023-02-24 12:57:23,340 p=28216 u=rob n=ansible | TASK [eve-ng-create-node : L3VPN_EVPN: add node to lab] *********************************************************************************************************
2023-02-24 12:57:23,354 p=28216 u=rob n=ansible | skipping: [eveng]
2023-02-24 12:57:23,362 p=28216 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 12:57:23,370 p=28216 u=rob n=ansible | skipping: [PE1]
2023-02-24 12:57:23,372 p=28216 u=rob n=ansible | skipping: [PE2]
2023-02-24 12:57:23,377 p=28216 u=rob n=ansible | skipping: [PE3]
2023-02-24 12:57:23,380 p=28216 u=rob n=ansible | TASK [eve-ng-create-node : L3VPN_EVPN: start node] **************************************************************************************************************
2023-02-24 12:57:23,394 p=28216 u=rob n=ansible | skipping: [eveng]
2023-02-24 12:57:23,401 p=28216 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 12:57:23,408 p=28216 u=rob n=ansible | skipping: [PE1]
2023-02-24 12:57:23,410 p=28216 u=rob n=ansible | skipping: [PE2]
2023-02-24 12:57:23,414 p=28216 u=rob n=ansible | skipping: [PE3]
2023-02-24 12:57:23,417 p=28216 u=rob n=ansible | TASK [eve-ng-create-node : debug] *******************************************************************************************************************************
2023-02-24 12:57:23,437 p=28216 u=rob n=ansible | skipping: [eveng]
2023-02-24 12:57:23,444 p=28216 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 12:57:23,445 p=28216 u=rob n=ansible | skipping: [PE1]
2023-02-24 12:57:23,446 p=28216 u=rob n=ansible | skipping: [PE2]
2023-02-24 12:57:23,450 p=28216 u=rob n=ansible | skipping: [PE3]
