2023-02-24 13:05:57,233 p=29738 u=rob n=ansible | PLAY [Automatic VyOS Lab test] **********************************************************************************************************************************
2023-02-24 13:07:33,232 p=30228 u=rob n=p=30228 u=rob | paramiko [dhcp-relay] | 
2023-02-24 13:07:33,232 p=30228 u=rob n=p=30228 u=rob | paramiko [dhcp-relay] | Traceback (most recent call last):
2023-02-24 13:07:33,232 p=30228 u=rob n=p=30228 u=rob | paramiko [dhcp-relay] |   File "/Users/rob/.local/share/virtualenvs/vyos-eveng-b9X2mBdh/lib/python3.9/site-packages/paramiko/transport.py", line 2091, in run
2023-02-24 13:07:33,233 p=30228 u=rob n=p=30228 u=rob | paramiko [dhcp-relay] |     self._check_banner()
2023-02-24 13:07:33,233 p=30228 u=rob n=p=30228 u=rob | paramiko [dhcp-relay] |   File "/Users/rob/.local/share/virtualenvs/vyos-eveng-b9X2mBdh/lib/python3.9/site-packages/paramiko/transport.py", line 2272, in _check_banner
2023-02-24 13:07:33,233 p=30228 u=rob n=p=30228 u=rob | paramiko [dhcp-relay] |     raise SSHException(
2023-02-24 13:07:33,233 p=30228 u=rob n=p=30228 u=rob | paramiko [dhcp-relay] | paramiko.ssh_exception.SSHException: Error reading SSH protocol banner
2023-02-24 13:07:33,233 p=30228 u=rob n=p=30228 u=rob | paramiko [dhcp-relay] | 
2023-02-24 13:07:33,234 p=30230 u=rob n=p=30230 u=rob | paramiko [transport] | Exception (client): Error reading SSH protocol banner
2023-02-24 13:07:33,234 p=30229 u=rob n=p=30229 u=rob | paramiko [dhcp-server] | Exception (client): Error reading SSH protocol banner
2023-02-24 13:07:33,237 p=30230 u=rob n=p=30230 u=rob | paramiko [transport] | Traceback (most recent call last):
2023-02-24 13:07:33,237 p=30229 u=rob n=p=30229 u=rob | paramiko [dhcp-server] | Traceback (most recent call last):
2023-02-24 13:07:33,237 p=30230 u=rob n=p=30230 u=rob | paramiko [transport] |   File "/Users/rob/.local/share/virtualenvs/vyos-eveng-b9X2mBdh/lib/python3.9/site-packages/paramiko/transport.py", line 2268, in _check_banner
2023-02-24 13:07:33,237 p=30229 u=rob n=p=30229 u=rob | paramiko [dhcp-server] |   File "/Users/rob/.local/share/virtualenvs/vyos-eveng-b9X2mBdh/lib/python3.9/site-packages/paramiko/transport.py", line 2268, in _check_banner
2023-02-24 13:07:33,237 p=30230 u=rob n=p=30230 u=rob | paramiko [transport] |     buf = self.packetizer.readline(timeout)
2023-02-24 13:07:33,237 p=30229 u=rob n=p=30229 u=rob | paramiko [dhcp-server] |     buf = self.packetizer.readline(timeout)
2023-02-24 13:07:33,237 p=30230 u=rob n=p=30230 u=rob | paramiko [transport] |   File "/Users/rob/.local/share/virtualenvs/vyos-eveng-b9X2mBdh/lib/python3.9/site-packages/paramiko/packet.py", line 374, in readline
2023-02-24 13:07:33,238 p=30229 u=rob n=p=30229 u=rob | paramiko [dhcp-server] |   File "/Users/rob/.local/share/virtualenvs/vyos-eveng-b9X2mBdh/lib/python3.9/site-packages/paramiko/packet.py", line 374, in readline
2023-02-24 13:07:33,238 p=30230 u=rob n=p=30230 u=rob | paramiko [transport] |     buf += self._read_timeout(timeout)
2023-02-24 13:07:33,238 p=30229 u=rob n=p=30229 u=rob | paramiko [dhcp-server] |     buf += self._read_timeout(timeout)
2023-02-24 13:07:33,238 p=30230 u=rob n=p=30230 u=rob | paramiko [transport] |   File "/Users/rob/.local/share/virtualenvs/vyos-eveng-b9X2mBdh/lib/python3.9/site-packages/paramiko/packet.py", line 611, in _read_timeout
2023-02-24 13:07:33,238 p=30229 u=rob n=p=30229 u=rob | paramiko [dhcp-server] |   File "/Users/rob/.local/share/virtualenvs/vyos-eveng-b9X2mBdh/lib/python3.9/site-packages/paramiko/packet.py", line 611, in _read_timeout
2023-02-24 13:07:33,238 p=30230 u=rob n=p=30230 u=rob | paramiko [transport] |     raise socket.timeout()
2023-02-24 13:07:33,238 p=30229 u=rob n=p=30229 u=rob | paramiko [dhcp-server] |     raise socket.timeout()
2023-02-24 13:07:33,238 p=30230 u=rob n=p=30230 u=rob | paramiko [transport] | socket.timeout
2023-02-24 13:07:33,238 p=30229 u=rob n=p=30229 u=rob | paramiko [dhcp-server] | socket.timeout
2023-02-24 13:07:33,238 p=30230 u=rob n=p=30230 u=rob | paramiko [transport] | 
2023-02-24 13:07:33,238 p=30229 u=rob n=p=30229 u=rob | paramiko [dhcp-server] | 
2023-02-24 13:07:33,238 p=30230 u=rob n=p=30230 u=rob | paramiko [transport] | During handling of the above exception, another exception occurred:
2023-02-24 13:07:33,238 p=30229 u=rob n=p=30229 u=rob | paramiko [dhcp-server] | During handling of the above exception, another exception occurred:
2023-02-24 13:07:33,239 p=30230 u=rob n=p=30230 u=rob | paramiko [transport] | 
2023-02-24 13:07:33,239 p=30229 u=rob n=p=30229 u=rob | paramiko [dhcp-server] | 
2023-02-24 13:07:33,239 p=30230 u=rob n=p=30230 u=rob | paramiko [transport] | Traceback (most recent call last):
2023-02-24 13:07:33,239 p=30229 u=rob n=p=30229 u=rob | paramiko [dhcp-server] | Traceback (most recent call last):
2023-02-24 13:07:33,239 p=30230 u=rob n=p=30230 u=rob | paramiko [transport] |   File "/Users/rob/.local/share/virtualenvs/vyos-eveng-b9X2mBdh/lib/python3.9/site-packages/paramiko/transport.py", line 2091, in run
2023-02-24 13:07:33,239 p=30229 u=rob n=p=30229 u=rob | paramiko [dhcp-server] |   File "/Users/rob/.local/share/virtualenvs/vyos-eveng-b9X2mBdh/lib/python3.9/site-packages/paramiko/transport.py", line 2091, in run
2023-02-24 13:07:33,239 p=30230 u=rob n=p=30230 u=rob | paramiko [transport] |     self._check_banner()
2023-02-24 13:07:33,239 p=30229 u=rob n=p=30229 u=rob | paramiko [dhcp-server] |     self._check_banner()
2023-02-24 13:07:33,239 p=30230 u=rob n=p=30230 u=rob | paramiko [transport] |   File "/Users/rob/.local/share/virtualenvs/vyos-eveng-b9X2mBdh/lib/python3.9/site-packages/paramiko/transport.py", line 2272, in _check_banner
2023-02-24 13:07:33,239 p=30229 u=rob n=p=30229 u=rob | paramiko [dhcp-server] |   File "/Users/rob/.local/share/virtualenvs/vyos-eveng-b9X2mBdh/lib/python3.9/site-packages/paramiko/transport.py", line 2272, in _check_banner
2023-02-24 13:07:33,239 p=30230 u=rob n=p=30230 u=rob | paramiko [transport] |     raise SSHException(
2023-02-24 13:07:33,239 p=30229 u=rob n=p=30229 u=rob | paramiko [dhcp-server] |     raise SSHException(
2023-02-24 13:07:33,240 p=30230 u=rob n=p=30230 u=rob | paramiko [transport] | paramiko.ssh_exception.SSHException: Error reading SSH protocol banner
2023-02-24 13:07:33,240 p=30229 u=rob n=p=30229 u=rob | paramiko [dhcp-server] | paramiko.ssh_exception.SSHException: Error reading SSH protocol banner
2023-02-24 13:07:33,240 p=30230 u=rob n=p=30230 u=rob | paramiko [transport] | 
2023-02-24 13:07:33,240 p=30229 u=rob n=p=30229 u=rob | paramiko [dhcp-server] | 
2023-02-24 13:08:04,280 p=30228 u=rob n=p=30228 u=rob | paramiko [dhcp-relay] | Exception (client): Error reading SSH protocol banner
2023-02-24 13:08:04,281 p=30228 u=rob n=p=30228 u=rob | paramiko [dhcp-relay] | Traceback (most recent call last):
2023-02-24 13:08:04,281 p=30228 u=rob n=p=30228 u=rob | paramiko [dhcp-relay] |   File "/Users/rob/.local/share/virtualenvs/vyos-eveng-b9X2mBdh/lib/python3.9/site-packages/paramiko/transport.py", line 2268, in _check_banner
2023-02-24 13:08:04,281 p=30228 u=rob n=p=30228 u=rob | paramiko [dhcp-relay] |     buf = self.packetizer.readline(timeout)
2023-02-24 13:08:04,281 p=30228 u=rob n=p=30228 u=rob | paramiko [dhcp-relay] |   File "/Users/rob/.local/share/virtualenvs/vyos-eveng-b9X2mBdh/lib/python3.9/site-packages/paramiko/packet.py", line 374, in readline
2023-02-24 13:08:04,281 p=30228 u=rob n=p=30228 u=rob | paramiko [dhcp-relay] |     buf += self._read_timeout(timeout)
2023-02-24 13:08:04,282 p=30228 u=rob n=p=30228 u=rob | paramiko [dhcp-relay] |   File "/Users/rob/.local/share/virtualenvs/vyos-eveng-b9X2mBdh/lib/python3.9/site-packages/paramiko/packet.py", line 611, in _read_timeout
2023-02-24 13:08:04,282 p=30228 u=rob n=p=30228 u=rob | paramiko [dhcp-relay] |     raise socket.timeout()
2023-02-24 13:08:04,282 p=30228 u=rob n=p=30228 u=rob | paramiko [dhcp-relay] | socket.timeout
2023-02-24 13:08:04,282 p=30228 u=rob n=p=30228 u=rob | paramiko [dhcp-relay] | 
2023-02-24 13:08:04,282 p=30228 u=rob n=p=30228 u=rob | paramiko [dhcp-relay] | During handling of the above exception, another exception occurred:
2023-02-24 13:08:04,282 p=30228 u=rob n=p=30228 u=rob | paramiko [dhcp-relay] | 
2023-02-24 13:08:04,282 p=30228 u=rob n=p=30228 u=rob | paramiko [dhcp-relay] | Traceback (most recent call last):
2023-02-24 13:08:04,283 p=30228 u=rob n=p=30228 u=rob | paramiko [dhcp-relay] |   File "/Users/rob/.local/share/virtualenvs/vyos-eveng-b9X2mBdh/lib/python3.9/site-packages/paramiko/transport.py", line 2091, in run
2023-02-24 13:08:04,283 p=30228 u=rob n=p=30228 u=rob | paramiko [dhcp-relay] |     self._check_banner()
2023-02-24 13:08:04,283 p=30228 u=rob n=p=30228 u=rob | paramiko [dhcp-relay] |   File "/Users/rob/.local/share/virtualenvs/vyos-eveng-b9X2mBdh/lib/python3.9/site-packages/paramiko/transport.py", line 2272, in _check_banner
2023-02-24 13:08:04,283 p=30228 u=rob n=p=30228 u=rob | paramiko [dhcp-relay] |     raise SSHException(
2023-02-24 13:08:04,283 p=30228 u=rob n=p=30228 u=rob | paramiko [dhcp-relay] | paramiko.ssh_exception.SSHException: Error reading SSH protocol banner
2023-02-24 13:08:04,283 p=30228 u=rob n=p=30228 u=rob | paramiko [dhcp-relay] | 
2023-02-24 13:08:04,300 p=30230 u=rob n=p=30230 u=rob | paramiko [transport] | Exception (client): Error reading SSH protocol banner
2023-02-24 13:08:04,300 p=30229 u=rob n=p=30229 u=rob | paramiko [dhcp-server] | Exception (client): Error reading SSH protocol banner
2023-02-24 13:08:04,300 p=30230 u=rob n=p=30230 u=rob | paramiko [transport] | Traceback (most recent call last):
2023-02-24 13:08:04,300 p=30229 u=rob n=p=30229 u=rob | paramiko [dhcp-server] | Traceback (most recent call last):
2023-02-24 13:08:04,301 p=30230 u=rob n=p=30230 u=rob | paramiko [transport] |   File "/Users/rob/.local/share/virtualenvs/vyos-eveng-b9X2mBdh/lib/python3.9/site-packages/paramiko/transport.py", line 2268, in _check_banner
2023-02-24 13:08:04,301 p=30229 u=rob n=p=30229 u=rob | paramiko [dhcp-server] |   File "/Users/rob/.local/share/virtualenvs/vyos-eveng-b9X2mBdh/lib/python3.9/site-packages/paramiko/transport.py", line 2268, in _check_banner
2023-02-24 13:08:04,301 p=30230 u=rob n=p=30230 u=rob | paramiko [transport] |     buf = self.packetizer.readline(timeout)
2023-02-24 13:08:04,301 p=30229 u=rob n=p=30229 u=rob | paramiko [dhcp-server] |     buf = self.packetizer.readline(timeout)
2023-02-24 13:08:04,301 p=30230 u=rob n=p=30230 u=rob | paramiko [transport] |   File "/Users/rob/.local/share/virtualenvs/vyos-eveng-b9X2mBdh/lib/python3.9/site-packages/paramiko/packet.py", line 374, in readline
2023-02-24 13:08:04,301 p=30229 u=rob n=p=30229 u=rob | paramiko [dhcp-server] |   File "/Users/rob/.local/share/virtualenvs/vyos-eveng-b9X2mBdh/lib/python3.9/site-packages/paramiko/packet.py", line 374, in readline
2023-02-24 13:08:04,301 p=30230 u=rob n=p=30230 u=rob | paramiko [transport] |     buf += self._read_timeout(timeout)
2023-02-24 13:08:04,301 p=30229 u=rob n=p=30229 u=rob | paramiko [dhcp-server] |     buf += self._read_timeout(timeout)
2023-02-24 13:08:04,301 p=30230 u=rob n=p=30230 u=rob | paramiko [transport] |   File "/Users/rob/.local/share/virtualenvs/vyos-eveng-b9X2mBdh/lib/python3.9/site-packages/paramiko/packet.py", line 611, in _read_timeout
2023-02-24 13:08:04,301 p=30229 u=rob n=p=30229 u=rob | paramiko [dhcp-server] |   File "/Users/rob/.local/share/virtualenvs/vyos-eveng-b9X2mBdh/lib/python3.9/site-packages/paramiko/packet.py", line 611, in _read_timeout
2023-02-24 13:08:04,301 p=30230 u=rob n=p=30230 u=rob | paramiko [transport] |     raise socket.timeout()
2023-02-24 13:08:04,301 p=30229 u=rob n=p=30229 u=rob | paramiko [dhcp-server] |     raise socket.timeout()
2023-02-24 13:08:04,301 p=30230 u=rob n=p=30230 u=rob | paramiko [transport] | socket.timeout
2023-02-24 13:08:04,302 p=30229 u=rob n=p=30229 u=rob | paramiko [dhcp-server] | socket.timeout
2023-02-24 13:08:04,302 p=30230 u=rob n=p=30230 u=rob | paramiko [transport] | 
2023-02-24 13:08:04,302 p=30229 u=rob n=p=30229 u=rob | paramiko [dhcp-server] | 
2023-02-24 13:08:04,302 p=30230 u=rob n=p=30230 u=rob | paramiko [transport] | During handling of the above exception, another exception occurred:
2023-02-24 13:08:04,302 p=30229 u=rob n=p=30229 u=rob | paramiko [dhcp-server] | During handling of the above exception, another exception occurred:
2023-02-24 13:08:04,302 p=30230 u=rob n=p=30230 u=rob | paramiko [transport] | 
2023-02-24 13:08:04,302 p=30229 u=rob n=p=30229 u=rob | paramiko [dhcp-server] | 
2023-02-24 13:08:04,302 p=30230 u=rob n=p=30230 u=rob | paramiko [transport] | Traceback (most recent call last):
2023-02-24 13:08:04,302 p=30229 u=rob n=p=30229 u=rob | paramiko [dhcp-server] | Traceback (most recent call last):
2023-02-24 13:08:04,302 p=30230 u=rob n=p=30230 u=rob | paramiko [transport] |   File "/Users/rob/.local/share/virtualenvs/vyos-eveng-b9X2mBdh/lib/python3.9/site-packages/paramiko/transport.py", line 2091, in run
2023-02-24 13:08:04,302 p=30229 u=rob n=p=30229 u=rob | paramiko [dhcp-server] |   File "/Users/rob/.local/share/virtualenvs/vyos-eveng-b9X2mBdh/lib/python3.9/site-packages/paramiko/transport.py", line 2091, in run
2023-02-24 13:08:04,302 p=30230 u=rob n=p=30230 u=rob | paramiko [transport] |     self._check_banner()
2023-02-24 13:08:04,302 p=30229 u=rob n=p=30229 u=rob | paramiko [dhcp-server] |     self._check_banner()
2023-02-24 13:08:04,303 p=30230 u=rob n=p=30230 u=rob | paramiko [transport] |   File "/Users/rob/.local/share/virtualenvs/vyos-eveng-b9X2mBdh/lib/python3.9/site-packages/paramiko/transport.py", line 2272, in _check_banner
2023-02-24 13:08:04,303 p=30229 u=rob n=p=30229 u=rob | paramiko [dhcp-server] |   File "/Users/rob/.local/share/virtualenvs/vyos-eveng-b9X2mBdh/lib/python3.9/site-packages/paramiko/transport.py", line 2272, in _check_banner
2023-02-24 13:08:04,303 p=30230 u=rob n=p=30230 u=rob | paramiko [transport] |     raise SSHException(
2023-02-24 13:08:04,303 p=30229 u=rob n=p=30229 u=rob | paramiko [dhcp-server] |     raise SSHException(
2023-02-24 13:08:04,303 p=30230 u=rob n=p=30230 u=rob | paramiko [transport] | paramiko.ssh_exception.SSHException: Error reading SSH protocol banner
2023-02-24 13:08:04,303 p=30229 u=rob n=p=30229 u=rob | paramiko [dhcp-server] | paramiko.ssh_exception.SSHException: Error reading SSH protocol banner
2023-02-24 13:08:04,303 p=30230 u=rob n=p=30230 u=rob | paramiko [transport] | 
2023-02-24 13:08:04,303 p=30229 u=rob n=p=30229 u=rob | paramiko [dhcp-server] | 
2023-02-24 13:08:06,278 p=30228 u=rob n=p=30228 u=rob | paramiko [dhcp-relay] | Connected (version 2.0, client OpenSSH_8.4p1)
2023-02-24 13:08:06,317 p=30230 u=rob n=p=30230 u=rob | paramiko [transport] | Connected (version 2.0, client OpenSSH_8.4p1)
2023-02-24 13:08:06,388 p=30229 u=rob n=p=30229 u=rob | paramiko [dhcp-server] | Connected (version 2.0, client OpenSSH_8.4p1)
2023-02-24 13:08:06,536 p=30230 u=rob n=p=30230 u=rob | paramiko [transport] | Authentication (publickey) successful!
2023-02-24 13:08:06,543 p=30228 u=rob n=p=30228 u=rob | paramiko [dhcp-relay] | Authentication (publickey) successful!
2023-02-24 13:08:06,624 p=30229 u=rob n=p=30229 u=rob | paramiko [dhcp-server] | Authentication (publickey) successful!
2023-02-24 13:08:07,507 p=29738 u=rob n=ansible | ok: [transport]
2023-02-24 13:08:07,565 p=29738 u=rob n=ansible | ok: [dhcp-relay]
2023-02-24 13:08:07,680 p=29738 u=rob n=ansible | ok: [dhcp-server]
2023-02-24 13:08:07,683 p=29738 u=rob n=ansible | TASK [eve-ng-lab-test : setup nodes] ****************************************************************************************************************************
2023-02-24 13:08:07,699 p=29738 u=rob n=ansible | skipping: [eveng]
2023-02-24 13:08:07,704 p=29738 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 13:08:08,662 p=30008 u=rob n=ansible | [DEPRECATION WARNING]: PlayContext.verbosity is deprecated, use 
ansible.utils.display.Display.verbosity instead. This feature will be removed 
in version 2.18. Deprecation warnings can be disabled by setting 
deprecation_warnings=False in ansible.cfg.
2023-02-24 13:08:08,662 p=30011 u=rob n=ansible | [DEPRECATION WARNING]: PlayContext.verbosity is deprecated, use 
ansible.utils.display.Display.verbosity instead. This feature will be removed 
in version 2.18. Deprecation warnings can be disabled by setting 
deprecation_warnings=False in ansible.cfg.
2023-02-24 13:08:08,662 p=30014 u=rob n=ansible | [DEPRECATION WARNING]: PlayContext.verbosity is deprecated, use 
ansible.utils.display.Display.verbosity instead. This feature will be removed 
in version 2.18. Deprecation warnings can be disabled by setting 
deprecation_warnings=False in ansible.cfg.
2023-02-24 13:08:09,681 p=30011 u=rob n=p=30011 u=rob | paramiko [dhcp-server] | Connected (version 2.0, client OpenSSH_8.4p1)
2023-02-24 13:08:09,681 p=30008 u=rob n=p=30008 u=rob | paramiko [dhcp-relay] | Connected (version 2.0, client OpenSSH_8.4p1)
2023-02-24 13:08:09,684 p=30014 u=rob n=p=30014 u=rob | paramiko [transport] | Connected (version 2.0, client OpenSSH_8.4p1)
2023-02-24 13:08:09,916 p=30008 u=rob n=p=30008 u=rob | paramiko [dhcp-relay] | Authentication (publickey) successful!
2023-02-24 13:08:09,918 p=30011 u=rob n=p=30011 u=rob | paramiko [dhcp-server] | Authentication (publickey) successful!
2023-02-24 13:08:09,926 p=30014 u=rob n=p=30014 u=rob | paramiko [transport] | Authentication (publickey) successful!
2023-02-24 13:08:16,287 p=29738 u=rob n=ansible | [WARNING]: To ensure idempotency and correct diff the input configuration lines should be similar to how they appear if present in the running configuration on
device including the indentation

2023-02-24 13:08:16,287 p=29738 u=rob n=ansible | changed: [transport]
2023-02-24 13:08:20,550 p=29738 u=rob n=ansible | changed: [dhcp-relay]
2023-02-24 13:08:21,266 p=29738 u=rob n=ansible | changed: [dhcp-server]
2023-02-24 13:08:21,280 p=29738 u=rob n=ansible | TASK [eve-ng-lab-test : DHCPRelay_through_GRE: Login to EVE-NG and get Cookie] **********************************************************************************
2023-02-24 13:08:21,318 p=29738 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 13:08:21,328 p=29738 u=rob n=ansible | skipping: [dhcp-relay]
2023-02-24 13:08:21,330 p=29738 u=rob n=ansible | skipping: [dhcp-server]
2023-02-24 13:08:21,337 p=29738 u=rob n=ansible | skipping: [transport]
2023-02-24 13:08:22,548 p=29738 u=rob n=ansible | ok: [eveng]
2023-02-24 13:08:22,558 p=29738 u=rob n=ansible | TASK [eve-ng-lab-test : DHCPRelay_through_GRE: stop nodes id] ***************************************************************************************************
2023-02-24 13:08:22,595 p=29738 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 13:08:22,599 p=29738 u=rob n=ansible | skipping: [dhcp-relay]
2023-02-24 13:08:22,604 p=29738 u=rob n=ansible | skipping: [dhcp-server]
2023-02-24 13:08:22,610 p=29738 u=rob n=ansible | skipping: [transport]
2023-02-24 13:08:23,391 p=29738 u=rob n=ansible | ok: [eveng] => (item=5)
2023-02-24 13:08:23,404 p=29738 u=rob n=ansible | TASK [eve-ng-lab-test : DHCPRelay_through_GRE: wait after stop] *************************************************************************************************
2023-02-24 13:08:23,425 p=29738 u=rob n=ansible | Pausing for 5 seconds
2023-02-24 13:08:23,425 p=29738 u=rob n=ansible | (ctrl+C then 'C' = continue early, ctrl+C then 'A' = abort)
2023-02-24 13:08:28,445 p=29738 u=rob n=ansible | ok: [eveng]
2023-02-24 13:08:28,458 p=29738 u=rob n=ansible | TASK [eve-ng-lab-test : DHCPRelay_through_GRE: start nodes id] **************************************************************************************************
2023-02-24 13:08:28,504 p=29738 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 13:08:28,508 p=29738 u=rob n=ansible | skipping: [dhcp-relay]
2023-02-24 13:08:28,514 p=29738 u=rob n=ansible | skipping: [dhcp-server]
2023-02-24 13:08:28,520 p=29738 u=rob n=ansible | skipping: [transport]
2023-02-24 13:08:29,173 p=29738 u=rob n=ansible | ok: [eveng] => (item=5)
2023-02-24 13:08:29,182 p=29738 u=rob n=ansible | TASK [eve-ng-lab-test : DHCPRelay_through_GRE: wait after start] ************************************************************************************************
2023-02-24 13:08:29,201 p=29738 u=rob n=ansible | Pausing for 5 seconds
2023-02-24 13:08:29,201 p=29738 u=rob n=ansible | (ctrl+C then 'C' = continue early, ctrl+C then 'A' = abort)
2023-02-24 13:08:34,212 p=29738 u=rob n=ansible | ok: [eveng]
2023-02-24 13:08:34,223 p=29738 u=rob n=ansible | TASK [eve-ng-lab-test : DHCPRelay_through_GRE: wait, b/c the ping often failed without a short break] ***********************************************************
2023-02-24 13:08:34,246 p=29738 u=rob n=ansible | Pausing for 30 seconds
2023-02-24 13:08:34,247 p=29738 u=rob n=ansible | (ctrl+C then 'C' = continue early, ctrl+C then 'A' = abort)
2023-02-24 13:09:04,265 p=29738 u=rob n=ansible | ok: [eveng]
2023-02-24 13:09:04,280 p=29738 u=rob n=ansible | TASK [eve-ng-lab-test : DHCPRelay_through_GRE: do ping test] ****************************************************************************************************
2023-02-24 13:09:04,320 p=29738 u=rob n=ansible | skipping: [eveng]
2023-02-24 13:09:04,329 p=29738 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 13:09:04,344 p=29738 u=rob n=ansible | skipping: [transport]
2023-02-24 13:09:09,665 p=29738 u=rob n=ansible | ok: [dhcp-relay] => (item=172.16.0.1)
2023-02-24 13:09:09,734 p=29738 u=rob n=ansible | ok: [dhcp-server] => (item=172.16.0.2)
2023-02-24 13:09:14,926 p=29738 u=rob n=ansible | ok: [dhcp-server] => (item=192.168.0.30)
2023-02-24 13:09:14,944 p=29738 u=rob n=ansible | TASK [eve-ng-lab-test : DHCPRelay_through_GRE: execute test commands] *******************************************************************************************
2023-02-24 13:09:14,978 p=29738 u=rob n=ansible | skipping: [eveng]
2023-02-24 13:09:14,987 p=29738 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 13:09:14,990 p=29738 u=rob n=ansible | skipping: [dhcp-relay]
2023-02-24 13:09:14,994 p=29738 u=rob n=ansible | skipping: [dhcp-server]
2023-02-24 13:09:15,002 p=29738 u=rob n=ansible | skipping: [transport]
2023-02-24 13:09:15,006 p=29738 u=rob n=ansible | TASK [eve-ng-lab-test : DHCPRelay_through_GRE: register stdout commands] ****************************************************************************************
2023-02-24 13:09:15,033 p=29738 u=rob n=ansible | skipping: [eveng]
2023-02-24 13:09:15,035 p=29738 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 13:09:15,038 p=29738 u=rob n=ansible | skipping: [dhcp-relay]
2023-02-24 13:09:15,049 p=29738 u=rob n=ansible | skipping: [transport]
2023-02-24 13:09:16,532 p=29738 u=rob n=ansible | ok: [dhcp-server] => (item={'name': 'show_dhcp_server_leases', 'command': 'show dhcp server leases'})
2023-02-24 13:09:20,770 p=29738 u=rob n=ansible | ok: [dhcp-server] => (item={'name': 'ping_client', 'command': 'ping 192.168.0.30 count 4'})
2023-02-24 13:09:20,785 p=29738 u=rob n=ansible | TASK [eve-ng-lab-test : DHCPRelay_through_GRE: Set variables] ***************************************************************************************************
2023-02-24 13:09:20,829 p=29738 u=rob n=ansible | skipping: [eveng]
2023-02-24 13:09:20,832 p=29738 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 13:09:20,832 p=29738 u=rob n=ansible | skipping: [dhcp-relay]
2023-02-24 13:09:20,845 p=29738 u=rob n=ansible | skipping: [transport]
2023-02-24 13:09:21,755 p=29738 u=rob n=ansible | ok: [dhcp-server]
2023-02-24 13:09:21,760 p=29738 u=rob n=ansible | TASK [eve-ng-lab-test : DHCPRelay_through_GRE: Reboot vyos] *****************************************************************************************************
2023-02-24 13:09:21,783 p=29738 u=rob n=ansible | skipping: [eveng]
2023-02-24 13:09:21,788 p=29738 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 13:09:23,045 p=29738 u=rob n=ansible | ok: [dhcp-server]
2023-02-24 13:09:23,090 p=29738 u=rob n=ansible | ok: [dhcp-relay]
2023-02-24 13:09:23,140 p=29738 u=rob n=ansible | ok: [transport]
2023-02-24 13:09:23,145 p=29738 u=rob n=ansible | TASK [eve-ng-lab-test : DHCPRelay_through_GRE: wait while shutdown] *********************************************************************************************
2023-02-24 13:09:23,161 p=29738 u=rob n=ansible | skipping: [eveng]
2023-02-24 13:09:23,166 p=29738 u=rob n=ansible | TASK [eve-ng-lab-test : DHCPRelay_through_GRE: Wait for vyos nodes] *********************************************************************************************
2023-02-24 13:09:23,185 p=29738 u=rob n=ansible | skipping: [eveng]
2023-02-24 13:09:23,193 p=29738 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 13:09:24,159 p=29738 u=rob n=ansible | [DEPRECATION WARNING]: PlayContext.verbosity is deprecated, use ansible.utils.display.Display.verbosity instead. This feature will be removed in version 2.18. 
Deprecation warnings can be disabled by setting deprecation_warnings=False in ansible.cfg.
2023-02-24 13:09:24,160 p=29738 u=rob n=ansible | [DEPRECATION WARNING]: PlayContext.verbosity is deprecated, use ansible.utils.display.Display.verbosity instead. This feature will be removed in version 2.18. 
Deprecation warnings can be disabled by setting deprecation_warnings=False in ansible.cfg.
2023-02-24 13:09:24,161 p=29738 u=rob n=ansible | [DEPRECATION WARNING]: PlayContext.verbosity is deprecated, use ansible.utils.display.Display.verbosity instead. This feature will be removed in version 2.18. 
Deprecation warnings can be disabled by setting deprecation_warnings=False in ansible.cfg.
2023-02-24 13:09:25,199 p=30449 u=rob n=p=30449 u=rob | paramiko [dhcp-relay] | Connected (version 2.0, client OpenSSH_8.4p1)
2023-02-24 13:09:25,205 p=30451 u=rob n=p=30451 u=rob | paramiko [transport] | Connected (version 2.0, client OpenSSH_8.4p1)
2023-02-24 13:09:25,214 p=30450 u=rob n=p=30450 u=rob | paramiko [dhcp-server] | Connected (version 2.0, client OpenSSH_8.4p1)
2023-02-24 13:09:25,455 p=30451 u=rob n=p=30451 u=rob | paramiko [transport] | Auth banner: b'System is going down. Unprivileged users are not permitted to log in anymore. For technical details, see pam_nologin(8).\n\n'
2023-02-24 13:09:25,473 p=30450 u=rob n=p=30450 u=rob | paramiko [dhcp-server] | Auth banner: b'System is going down. Unprivileged users are not permitted to log in anymore. For technical details, see pam_nologin(8).\n\n'
2023-02-24 13:09:25,481 p=30449 u=rob n=p=30449 u=rob | paramiko [dhcp-relay] | Auth banner: b'System is going down. Unprivileged users are not permitted to log in anymore. For technical details, see pam_nologin(8).\n\n'
2023-02-24 13:11:23,513 p=30008 u=rob n=ansible | persistent connection idle timeout triggered, timeout value is 120 secs.
See the timeout setting options in the Network Debug and Troubleshooting Guide.
