2023-02-24 13:05:57,233 p=29738 u=rob n=ansible | PLAY [Automatic VyOS Lab test] **********************************************************************************************************************************
2023-02-24 13:06:00,428 p=29738 u=rob n=ansible | skipping: [transport]
2023-02-24 13:06:00,431 p=29738 u=rob n=ansible | TASK [eve-ng-create-node : DHCPRelay_through_GRE: open lab] *****************************************************************************************************
2023-02-24 13:06:00,451 p=29738 u=rob n=ansible | skipping: [eveng]
2023-02-24 13:06:00,458 p=29738 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 13:06:00,461 p=29738 u=rob n=ansible | skipping: [dhcp-relay]
2023-02-24 13:06:00,461 p=29738 u=rob n=ansible | skipping: [dhcp-server]
2023-02-24 13:06:00,465 p=29738 u=rob n=ansible | skipping: [transport]
2023-02-24 13:06:00,468 p=29738 u=rob n=ansible | TASK [eve-ng-create-node : set_fact] ****************************************************************************************************************************
2023-02-24 13:06:00,482 p=29738 u=rob n=ansible | skipping: [eveng]
2023-02-24 13:06:00,489 p=29738 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 13:06:00,497 p=29738 u=rob n=ansible | skipping: [dhcp-relay]
2023-02-24 13:06:00,499 p=29738 u=rob n=ansible | skipping: [dhcp-server]
2023-02-24 13:06:00,504 p=29738 u=rob n=ansible | skipping: [transport]
2023-02-24 13:06:00,507 p=29738 u=rob n=ansible | TASK [eve-ng-create-node : DHCPRelay_through_GRE: add node to lab] **********************************************************************************************
2023-02-24 13:06:00,521 p=29738 u=rob n=ansible | skipping: [eveng]
2023-02-24 13:06:00,529 p=29738 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 13:06:00,536 p=29738 u=rob n=ansible | skipping: [dhcp-relay]
2023-02-24 13:06:00,538 p=29738 u=rob n=ansible | skipping: [dhcp-server]
2023-02-24 13:06:00,542 p=29738 u=rob n=ansible | skipping: [transport]
2023-02-24 13:06:00,545 p=29738 u=rob n=ansible | TASK [eve-ng-create-node : DHCPRelay_through_GRE: start node] ***************************************************************************************************
2023-02-24 13:06:00,565 p=29738 u=rob n=ansible | skipping: [eveng]
2023-02-24 13:06:00,572 p=29738 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 13:06:00,574 p=29738 u=rob n=ansible | skipping: [dhcp-relay]
2023-02-24 13:06:00,574 p=29738 u=rob n=ansible | skipping: [dhcp-server]
2023-02-24 13:06:00,579 p=29738 u=rob n=ansible | skipping: [transport]
2023-02-24 13:06:00,581 p=29738 u=rob n=ansible | TASK [eve-ng-create-node : debug] *******************************************************************************************************************************
2023-02-24 13:06:00,596 p=29738 u=rob n=ansible | skipping: [eveng]
2023-02-24 13:06:00,603 p=29738 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 13:06:00,610 p=29738 u=rob n=ansible | skipping: [dhcp-relay]
2023-02-24 13:06:00,612 p=29738 u=rob n=ansible | skipping: [dhcp-server]
2023-02-24 13:06:00,616 p=29738 u=rob n=ansible | skipping: [transport]
2023-02-24 13:06:00,619 p=29738 u=rob n=ansible | TASK [eve-ng-create-node : DHCPRelay_through_GRE: get node infos] ***********************************************************************************************
2023-02-24 13:06:00,632 p=29738 u=rob n=ansible | skipping: [eveng]
2023-02-24 13:06:00,639 p=29738 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 13:06:00,646 p=29738 u=rob n=ansible | skipping: [dhcp-relay]
2023-02-24 13:06:00,648 p=29738 u=rob n=ansible | skipping: [dhcp-server]
2023-02-24 13:06:00,652 p=29738 u=rob n=ansible | skipping: [transport]
2023-02-24 13:06:00,655 p=29738 u=rob n=ansible | TASK [eve-ng-create-node : set_fact] ****************************************************************************************************************************
2023-02-24 13:06:00,668 p=29738 u=rob n=ansible | skipping: [eveng]
2023-02-24 13:06:00,675 p=29738 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 13:06:00,684 p=29738 u=rob n=ansible | skipping: [dhcp-relay]
2023-02-24 13:06:00,686 p=29738 u=rob n=ansible | skipping: [dhcp-server]
2023-02-24 13:06:00,691 p=29738 u=rob n=ansible | skipping: [transport]
2023-02-24 13:06:00,694 p=29738 u=rob n=ansible | TASK [eve-ng-create-node : DHCPRelay_through_GRE: copy file] ****************************************************************************************************
2023-02-24 13:06:00,715 p=29738 u=rob n=ansible | skipping: [eveng]
